,Contract Date,Property Unit Number,Property House Number,Property Locality,State,Purchase Price,Postcode,Street,Year,Quarter,prev_quarterly_median
0,1990-04-03 00:00:00+00:00,,,,,573000,2067,,1990,2,574000
1,1990-04-05 00:00:00+00:00,,,,,189000,2067,,1990,2,230000
2,1990-04-05 00:00:00+00:00,23,71,CHATSWOOD,NSW,540000,2067,ARCHER,1990,2,574000
3,1990-04-11 00:00:00+00:00,,,,,260000,2067,,1990,2,265000
4,1990-04-18 00:00:00+00:00,12,71,CHATSWOOD,NSW,189000,2067,ARCHER,1990,2,190000
5,1990-04-19 00:00:00+00:00,,,,,430000,2067,,1990,2,301000
6,1990-04-19 00:00:00+00:00,,20,CHATSWOOD,NSW,975000,2067,CARR,1990,2,574000
7,1990-04-26 00:00:00+00:00,,,,,225000,2067,,1990,2,230000
8,1990-05-01 00:00:00+00:00,,,,,2050000,2067,,1990,2,1750000
9,1990-05-03 00:00:00+00:00,,11,CHATSWOOD,NSW,235000,2067,IVY,1990,2,257000
10,1990-05-07 00:00:00+00:00,1,71,CHATSWOOD,NSW,267000,2067,ARCHER,1990,2,265000
11,1990-05-08 00:00:00+00:00,3,12,CHATSWOOD,NSW,278500,2067,MALVERN,1990,2,257000
12,1990-05-17 00:00:00+00:00,,,,,370000,2067,,1990,2,301000
13,1990-05-23 00:00:00+00:00,,1A,CHATSWOOD,NSW,207000,2067,BERTRAM,1990,2,195000
14,1990-06-20 00:00:00+00:00,,,,,210000,2067,,1990,2,195000
15,1990-06-22 00:00:00+00:00,,24,CHATSWOOD,NSW,222000,2067,PARK,1990,2,301000
16,1990-06-27 00:00:00+00:00,15,71,CHATSWOOD,NSW,242500,2067,ARCHER,1990,2,301000
17,1990-06-29 00:00:00+00:00,,23,CHATSWOOD,NSW,255000,2067,BALDRY,1990,2,265000
18,1990-07-10 00:00:00+00:00,,122,CHATSWOOD,NSW,226000,2067,BEACONSFIELD,1990,3,825000
19,1990-07-17 00:00:00+00:00,,13,CHATSWOOD WEST,NSW,295000,2067,GOODCHAP,1990,3,306250
20,1990-07-27 00:00:00+00:00,,43,CHATSWOOD,NSW,289500,2067,SHARLAND,1990,3,260000
21,1990-07-27 00:00:00+00:00,,,,,205000,2067,,1990,3,343000
22,1990-08-01 00:00:00+00:00,,2,CHATSWOOD,NSW,250000,2067,SMITH,1990,3,2050000
23,1990-08-03 00:00:00+00:00,,14,CHATSWOOD,NSW,200000,2067,LAMETTE,1990,3,280000
24,1990-08-07 00:00:00+00:00,,105,CHATSWOOD,NSW,275000,2067,FULLERS,1990,3,260000
25,1990-08-14 00:00:00+00:00,,18,CHATSWOOD,NSW,200000,2067,CLAUDE,1990,3,210000
26,1990-08-20 00:00:00+00:00,12,25,CHATSWOOD,NSW,192500,2067,JOHNSON,1990,3,310000
27,1990-08-24 00:00:00+00:00,,,,,205000,2067,,1990,3,210000
28,1990-09-04 00:00:00+00:00,,4,CHATSWOOD WEST,NSW,214700,2067,DAVIES,1990,3,225000
29,1990-09-14 00:00:00+00:00,,,,,225000,2067,,1990,3,343000
30,1990-09-19 00:00:00+00:00,,,,,380000,2067,,1990,3,310000
31,1990-09-26 00:00:00+00:00,,,,,245000,2067,,1990,3,343000
32,1990-09-27 00:00:00+00:00,53,47,CHATSWOOD,NSW,327000,2067,NERIDAH,1990,3,306250
33,1990-10-02 00:00:00+00:00,,3,CHATSWOOD,NSW,217000,2067,JAMES,1990,4,282250
34,1990-10-03 00:00:00+00:00,,17,CHATSWOOD,NSW,338000,2067,DEVONSHIRE,1990,4,311000
35,1990-10-04 00:00:00+00:00,,,,,373000,2067,,1990,4,311000
36,1990-10-06 00:00:00+00:00,,,,,478000,2067,,1990,4,311000
