,Year,Locality Name,Type,Median Price,Percent Change,Transaction frequency
0,2015,EAST HILLS,Duplex,5738138.0,0.0,0.0
1,2016,EAST HILLS,Duplex,5741232.5,0.0,0.0
2,2017,EAST HILLS,Duplex,5743326.0,0.0,0.0
3,2018,EAST HILLS,Duplex,5743773.5,0.0,0.0
4,2019,EAST HILLS,Duplex,5736306.0,-0.0,0.0
5,2020,EAST HILLS,Duplex,5782288.5,0.01,0.0
6,2021,EAST HILLS,Duplex,6087294.0,0.05,0.0
7,2022,EAST HILLS,Duplex,6083558.5,-0.0,0.0
8,2023,EAST HILLS,Duplex,6081748.5,-0.0,0.0
9,2024,EAST HILLS,Duplex,4965983.0,-0.18,0.0
10,2025,EAST HILLS,Duplex,5004361.0,0.01,0.0
11,2015,EAST HILLS,Flat/Apartment,796141.5625,0.0,11.0
12,2016,EAST HILLS,Flat/Apartment,797109.5,0.0,5.0
13,2017,EAST HILLS,Flat/Apartment,791482.625,-0.01,25.0
14,2018,EAST HILLS,Flat/Apartment,790202.6875,-0.0,10.0
15,2019,EAST HILLS,Flat/Apartment,797358.4375,0.01,12.0
16,2020,EAST HILLS,Flat/Apartment,798638.0,0.0,6.0
17,2021,EAST HILLS,Flat/Apartment,809900.0625,0.01,11.0
18,2022,EAST HILLS,Flat/Apartment,810260.375,0.0,6.0
19,2023,EAST HILLS,Flat/Apartment,810638.4375,0.0,14.0
20,2024,EAST HILLS,Flat/Apartment,946564.25,0.17,4.0
21,2025,EAST HILLS,Flat/Apartment,1089079.875,0.15,2.0
22,2015,EAST HILLS,House/Full_Hold,820825.4375,0.0,47.0
23,2016,EAST HILLS,House/Full_Hold,820190.0,-0.0,41.0
24,2017,EAST HILLS,House/Full_Hold,821365.375,0.0,47.0
25,2018,EAST HILLS,House/Full_Hold,820468.6875,-0.0,25.0
26,2019,EAST HILLS,House/Full_Hold,821620.1875,0.0,35.0
27,2020,EAST HILLS,House/Full_Hold,832118.1875,0.01,34.0
28,2021,EAST HILLS,House/Full_Hold,874878.0625,0.05,57.0
29,2022,EAST HILLS,House/Full_Hold,883466.3125,0.01,32.0
30,2023,EAST HILLS,House/Full_Hold,899707.5,0.02,47.0
31,2024,EAST HILLS,House/Full_Hold,1140762.5,0.27,25.0
32,2025,EAST HILLS,House/Full_Hold,1192884.125,0.05,3.0
33,2015,EAST HILLS,House/Unit,833925.9375,0.0,6.0
34,2016,EAST HILLS,House/Unit,834030.3125,0.0,14.0
35,2017,EAST HILLS,House/Unit,831551.4375,-0.0,14.0
36,2018,EAST HILLS,House/Unit,831275.90625,-0.0,6.0
37,2019,EAST HILLS,House/Unit,834637.0,0.0,6.0
38,2020,EAST HILLS,House/Unit,845197.15625,0.01,14.0
39,2021,EAST HILLS,House/Unit,936196.25,0.11,15.0
40,2022,EAST HILLS,House/Unit,948056.5625,0.01,9.0
41,2023,EAST HILLS,House/Unit,948099.625,0.0,13.0
42,2024,EAST HILLS,House/Unit,1189496.875,0.25,10.0
43,2025,EAST HILLS,House/Unit,1228717.625,0.03,2.0
44,2015,EAST HILLS,Other,1739027.125,0.0,1.0
45,2016,EAST HILLS,Other,1738019.0,-0.0,0.0
46,2017,EAST HILLS,Other,1902294.25,0.09,0.0
47,2018,EAST HILLS,Other,1903383.0,0.0,0.0
48,2019,EAST HILLS,Other,1835990.125,-0.04,0.0
49,2020,EAST HILLS,Other,1830367.0,-0.0,0.0
50,2021,EAST HILLS,Other,2228023.25,0.22,1.0
51,2022,EAST HILLS,Other,2161837.0,-0.03,0.0
52,2023,EAST HILLS,Other,2303666.25,0.07,0.0
53,2024,EAST HILLS,Other,2857444.0,0.24,0.0
54,2025,EAST HILLS,Other,3091014.5,0.08,0.0
55,2015,PADSTOW,Duplex,394668.53125,0.0,8.0
56,2016,PADSTOW,Duplex,672308.75,0.7,4.0
57,2017,PADSTOW,Duplex,650858.5,-0.03,8.0
58,2018,PADSTOW,Duplex,671948.625,0.03,8.0
59,2019,PADSTOW,Duplex,671747.0625,-0.0,4.0
60,2020,PADSTOW,Duplex,656572.375,-0.02,0.0
61,2021,PADSTOW,Duplex,726211.9375,0.11,5.0
62,2022,PADSTOW,Duplex,469725.0625,-0.35,0.0
63,2023,PADSTOW,Duplex,730158.1875,0.55,6.0
64,2024,PADSTOW,Duplex,828648.0,0.13,3.0
65,2025,PADSTOW,Duplex,841040.6875,0.01,2.0
66,2015,PADSTOW,Flat/Apartment,803440.1875,0.0,84.0
67,2016,PADSTOW,Flat/Apartment,806348.8125,0.0,72.0
68,2017,PADSTOW,Flat/Apartment,806738.28125,0.0,92.0
69,2018,PADSTOW,Flat/Apartment,806359.25,-0.0,47.0
70,2019,PADSTOW,Flat/Apartment,805335.90625,-0.0,68.0
71,2020,PADSTOW,Flat/Apartment,804473.0,-0.0,54.0
72,2021,PADSTOW,Flat/Apartment,810561.625,0.01,79.0
73,2022,PADSTOW,Flat/Apartment,810562.1875,0.0,76.0
74,2023,PADSTOW,Flat/Apartment,810579.25,0.0,64.0
75,2024,PADSTOW,Flat/Apartment,848180.6875,0.05,53.0
76,2025,PADSTOW,Flat/Apartment,894133.875,0.05,11.0
77,2015,PADSTOW,House/Full_Hold,838284.25,0.0,160.0
78,2016,PADSTOW,House/Full_Hold,818087.625,-0.02,162.0
79,2017,PADSTOW,House/Full_Hold,818114.1875,0.0,148.0
80,2018,PADSTOW,House/Full_Hold,817977.25,-0.0,126.0
81,2019,PADSTOW,House/Full_Hold,820289.375,0.0,140.0
82,2020,PADSTOW,House/Full_Hold,830852.9375,0.01,129.0
83,2021,PADSTOW,House/Full_Hold,836681.1875,0.01,184.0
84,2022,PADSTOW,House/Full_Hold,850808.125,0.02,164.0
85,2023,PADSTOW,House/Full_Hold,850972.625,0.0,133.0
86,2024,PADSTOW,House/Full_Hold,1218409.375,0.43,152.0
87,2025,PADSTOW,House/Full_Hold,1260900.25,0.03,38.0
88,2015,PADSTOW,House/Unit,822469.84375,0.0,36.0
